C:\Users\Lauren\Documents\GitHub\AtlasSoft\logs\flow.log
Water
7
21.0
1.5079
300
500.0 200.0
Rectangular 0.0 0.0 500.0 50.0 0.0
Rectangular 0.0 150.0 500.0 50.0 0.0
Rectangular 350.0 15.0 50.0 75.0 0.0
Rectangular 350.0 110.0 50.0 75.0 0.0
Rect_Drain 490.0 50.0 10.0 100.0 0.0
Sources 25.0 100.0 -45.0 2.0 50.0
Breakpoints 115.0 0.0 5.0 200.0
Flowmeters 170.0 100.0 5.0 100.0
break
0.0001 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9728 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
1.0302 P 25 100 136.1333 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9642 P 18.2067 100.3019 22.1575 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9688 P 11.4134 100.6039 22.0572 P 25 100 136.1333 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9535 P 4.7275 100.901 15.5186 P 18.2067 100.3019 22.3955 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9914 P 0.005 101.2047 1.9051 P 11.4134 100.6039 21.577 P 25 100 136.1333 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9868 P 0.0018 101.5024 4.7259 P 4.6519 100.9044 10.2334 P 18.2067 100.3019 21.6739 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
1.0004 P 0.005 101.5032 2.1531 P 1.5748 101.0076 1.4973 P 11.4134 100.6039 21.3928 P 25 100 136.1333 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
1.015 P 0.005 101.508 5.0179 P 1.5554 100.8404 5.0125 P 4.6201 100.9058 3.8428 P 18.2067 100.3019 21.0979 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9548 P 0.005 101.5096 3.3716 P 0.3418 100.4429 4.5412 P 3.7266 101.048 1.435 P 11.8165 100.5859 21.0979 P 25 100 136.1333 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
